Rank,Country,Number of Publications,code
1,USA,94,USA
2,England,47,GBR
3,Germany,34,DEU
4,Spain,20,ESP
5,France,18,FRA
6,India,16,IND
7,Belgium,16,BEN
8,Canada,14,CAN
9,Japan,14,JPN
10,Italy,13,ITA
11,China,12,CHN
12,Brazil,12,BRA
13,Switzerland,11,CHE
14,Sweden,7,SWZ
15,Pakistan,4,PAK
16,Australia,4,AUS
17,Denmark,3,DNK
18,Finland,3,FIN
19,Ecuador,3,ECU
20,Turkey,3,TUR
21,Romania,2,ROU
22,Malaysia,2,MYS
23,Indonesia,2,IDN
24,Egypt,2,EGY
25,Russia,2,RUS
26,Philippines,1,PHL
27,Israel,1,ISR
28,Ireland,1,IRL
29,Netherlands,1,NLD
30,Saudi Arabia,1,SAU
31,Iran,1,IRN
