Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
223,A Siddharthan,A survey of research on text simplification,2014.0,ITL-International Journal of Applied Linguistics,jbe-platform.com,https://www.jbe-platform.com/content/journals/10.1075/itl.165.2.06sid,https://scholar.google.com/scholar?cites=3938621782352643082&as_sdt=2005&sciodt=2007&hl=en,1,2022-07-10 13:41,,10.1075/itl.165.2.06sid,,,,,,,223,27.88,223,1,8.0,… of text simplification in schools. We now consider other target reader populations for whom text simplification has been proposed. We will first consider the literature on text simplification …,,https://scholar.google.com/scholar?q=related:CsS-saTLqDYJ:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
211,M Shardlow,A survey of automated text simplification,2014.0,… Journal of Advanced Computer Science and …,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/1f50/efc8e572397e58a7b3a2021da737225fecc5.pdf,https://scholar.google.com/scholar?cites=17133610364856689862&as_sdt=2005&sciodt=2007&hl=en,2,2022-07-10 13:41,PDF,,,,,,,,211,26.38,211,1,8.0,… Abstract—Text simplification modifies syntax and lexicon to … Text simplification is a non-trivial task which is rapidly growing … history that has brought text simplification to its current state. …,https://pdfs.semanticscholar.org/1f50/efc8e572397e58a7b3a2021da737225fecc5.pdf,https://scholar.google.com/scholar?q=related:xuQ7XdnPxu0J:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
121,H Saggion,Automatic text simplification,2017.0,Synthesis Lectures on Human Language …,morganclaypool.com,https://www.morganclaypool.com/doi/abs/10.2200/S00700ED1V01Y201602HLT032,https://scholar.google.com/scholar?cites=12220982621920181736&as_sdt=2005&sciodt=2007&hl=en,3,2022-07-10 13:41,,10.2200/S00700ED1V01Y201602HLT032,,,,,,,121,24.2,121,1,5.0,"… in text simplification, exploring key issues including automatic readability assessment, lexical simplification, and syntactic simplification. It … currently used in simplification, describes full …",,https://scholar.google.com/scholar?q=related:6D3G8fGmmakJ:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
301,"W Xu, C Callison-Burch, C Napoles",Problems in current text simplification research: New data can help,2015.0,Transactions of the Association …,direct.mit.edu,https://direct.mit.edu/tacl/article-abstract/doi/10.1162/tacl_a_00139/43283,https://scholar.google.com/scholar?cites=9780942806756390190&as_sdt=2005&sciodt=2007&hl=en,4,2022-07-10 13:41,,10.1162/tacl_a_00139/43283,,,,,,,301,43.0,100,3,7.0,… The goal of text simplification is to rewrite complex text into … Text simplification may also help improve the performance of … this will lead to breakthroughs in text simplification research. …,https://direct.mit.edu/tacl/article-pdf/doi/10.1162/tacl_a_00139/1566780/tacl_a_00139.pdf,https://scholar.google.com/scholar?q=related:LnUgPanjvIcJ:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
189,"S Nisioi, S Štajner, SP Ponzetto…",Exploring neural text simplification models,2017.0,Proceedings of the 55th …,aclanthology.org,https://aclanthology.org/P17-2014/?ref=https://githubhelp.com,https://scholar.google.com/scholar?cites=7887535988614900889&as_sdt=2005&sciodt=2007&hl=en,5,2022-07-10 13:41,,,,,,,,,189,37.8,47,4,5.0,"… to model text simplification (TS). Unlike the previously proposed automated TS systems, our … text simplification (NTS) systems are able to simultaneously perform lexical simplification …",https://aclanthology.org/P17-2014.pdf,https://scholar.google.com/scholar?q=related:mSyAEjEodm0J:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
105,"E Sulem, O Abend, A Rappoport",BLEU is not suitable for the evaluation of text simplification,2018.0,Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing,aclanthology.org,https://arxiv.org/abs/1810.05995,https://scholar.google.com/scholar?cites=3141105694500318994&as_sdt=2005&sciodt=2007&hl=en,6,2022-07-10 13:41,,,,,,,,,105,26.25,35,3,4.0,"… to be an informative metric for text-to-text generation, including Text Simplification (TS). TS … of sentence splitting, the major structural simplification operation. We manually compiled a …",https://arxiv.org/pdf/1810.05995,https://scholar.google.com/scholar?q=related:Eu-lovxylysJ:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
99,"H Saggion, S Štajner, S Bott, S Mille, L Rello…",Making it simplext: Implementation and evaluation of a text simplification system for spanish,2015.0,ACM Transactions on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2738046,https://scholar.google.com/scholar?cites=17333661440888389436&as_sdt=2005&sciodt=2007&hl=en,7,2022-07-10 13:41,,10.1145/2738046,,,,,,,99,14.14,17,6,7.0,"… to different simplification … text simplification system for Spanish that addresses different linguistic aspects, are comparable to the state of the art in English Automatic Text Simplification…",https://www.academia.edu/download/58696579/a14-saggion.pdf,https://scholar.google.com/scholar?q=related:PL8JKT6JjfAJ:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
353,"W Xu, C Napoles, E Pavlick, Q Chen…",Optimizing statistical machine translation for text simplification,2016.0,Transactions of the …,direct.mit.edu,https://direct.mit.edu/tacl/article-abstract/doi/10.1162/tacl_a_00107/43364,https://scholar.google.com/scholar?cites=2746127501372717002&as_sdt=2005&sciodt=2007&hl=en,8,2022-07-10 13:41,,10.1162/tacl_a_00107/43364,,,,,,,353,58.83,71,5,6.0,"… Since the text simplification task aims at improving readability, we include the Flesch-Kincaid Index (FK) which estimates the readability of text using cognitively motivated features (…",https://direct.mit.edu/tacl/article-pdf/doi/10.1162/tacl_a_00107/1567406/tacl_a_00107.pdf,https://scholar.google.com/scholar?q=related:yndAs2k0HCYJ:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
22,"P Sikka, V Mago",A survey on text simplification,2020.0,arXiv preprint arXiv:2008.08612,arxiv.org,https://arxiv.org/abs/2008.08612,https://scholar.google.com/scholar?cites=3728586227278342223&as_sdt=2005&sciodt=2007&hl=en,9,2022-07-10 13:41,,,,,,,,,22,11.0,11,2,2.0,"… 2.1 Extractive Approach Extractive text simplification involves simply … text simplification is essentially text summarization, like using a highlighter to point out the most significant text. The …",https://arxiv.org/pdf/2008.08612,https://scholar.google.com/scholar?q=related:T-hWN2uZvjMJ:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
17,"SS Al-Thanyyan, AM Azmi",Automated text simplification: A survey,2021.0,ACM Computing Surveys (CSUR),dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3442695,https://scholar.google.com/scholar?cites=9575231368786657806&as_sdt=2005&sciodt=2007&hl=en,10,2022-07-10 13:41,,10.1145/3442695,,,,,,,17,17.0,9,2,1.0,"… text for a specific type of reader, text simplification should be defined to include sub-tasks that address specific characteristics of the text. … key points; conceptual simplification, where the …",https://www.researchgate.net/profile/Aqil-Azmi/publication/349899397_Automated_Text_Simplification_A_Survey/links/604684cf299bf1e07865fbd3/Automated-Text-Simplification-A-Survey.pdf,https://scholar.google.com/scholar?q=related:DsK0ujIO4oQJ:scholar.google.com/&scioq=intitle:text+intitle:simplification&hl=en&as_sdt=2007&as_ylo=2012&as_yhi=2022
